"For All Companies As of Sep 02, 2025 For All Alberta ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Facility ID,,Facility Subtype,,Surface Location,Location Latitude,Location Longitude,Facility Name,Field or Area,Operator Code,Operator Name,Licence Number,Licence Status,Licence Status Date,Licensee  BA Code,Licensee Name,Licence EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,First Volumetric Activity Date,Last Volumetric Activity Date
ABGP0001017,,Gas Plant Sweet,,00/04-15-027-15W4,51.300417,-112.043537,CESSFORD 04-15-027-15W4,CESSFORD,0HE9,Canadian Natural Resources Limited,F3690     ,Amended,29-Oct-07,0HE9,Canadian Natural Resources Limited,B010,1-Mar-01,29-Oct-07,,265,250,0,0,0,0,0,10,0,,,,,1-Jan-91,1-Mar-15
ABGP0001018,,Gas Plant Sweet,,02/07-34-034-06W4,51.958045,-110.76689,TAURUS CONSORT 7-34-34-6W4 GP,PROVOST,A04N,Tamarack Valley Energy Ltd.,F4588     ,Abandoned,11-Aug-25,A04N,Tamarack Valley Energy Ltd.,B010,6-Mar-01,27-May-20,,423,406,0,0,0,0,21,0,0,,,,,1-Jan-91,1-Nov-23
ABGP0001019,,Gas Plant Sweet,,/01-01-001-01W4,,,* AMOCO BUCK CREEK,UNDEFINED,A62D,BP Canada Energy Group ULC,,,,,,,,,,,,,,,,,,,,,,,1-Jan-92,1-Dec-02
ABGP0001020,,Gp Sulphur Rcvry,,00/03-03-030-02W5,51.534603,-114.202844,DEVON CARSTAIRS,CROSSFIELD,A8T8,HWN Energy Ltd.,F4142     ,Amended,14-Nov-07,A8T8,HWN Energy Ltd.,E600,28-Feb-01,14-Nov-07,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Superclaus Process","9,858.00",8392,0,0,657,498,0,1051,72.7,64.8,,7.9,90,1-Jan-91,1-Oct-08
ABGP0001021,,Gp Sulphur Rcvry,,02/06-18-032-01W5,51.740354,-114.131785,GARRINGTON OLDS,GARRINGTON,A5BE,Whitecap Resources Inc.,F4390     ,Amended,28-Jan-14,A5BE,Whitecap Resources Inc.,E600,1-Mar-01,28-Jan-14,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Superclaus Process","2,381.00",1895,0,0,140,120,0,825,404.9,398.4,,9.6,98.4,1-Jan-91,1-Jul-25
ABGP0001022,,Gas Plant Sweet,,02/02-08-024-12W4,51.02497,-111.640806,CESSFORD 02-08-024-12W4,CESSFORD,0HE9,Canadian Natural Resources Limited,F23466    ,Amended,3-Feb-06,0HE9,Canadian Natural Resources Limited,B010,1-May-01,26-Aug-06,,"1,416.00",1413.3,0,0,0,0,0,6,0,,,,,1-Jan-91,1-Jul-25
ABGP0001023,,Gp Acid Gas Flaring%,,00/02-34-050-26W4,53.35421,-113.717419,IMPERIAL LEDUC-WOODBEND,LEDUC-WOODBEND,0007,Imperial Oil Resources Limited,F11646    ,Abandoned,11-Nov-09,0007,Imperial Oil Resources Limited,D400,2-Mar-01,,,"1,200.00",,,,,,,,1.01,,,,,1-Jan-91,1-Nov-06
ABGP0001024,,Gp Acid Gas Flaring%,,00/01-14-085-13W6,56.364526,-119.928748,BOUNDARY LAKE 01-14-085-13W6,BOUNDARY LAKE SOUTH,0HE9,Canadian Natural Resources Limited,F17076    ,Amended,16-Oct-08,0HE9,Canadian Natural Resources Limited,C300,29-Mar-01,16-Oct-08,"Regenerative, Acid Gas Flaring","1,355.00",1332,,,,,1.9,3.9,0.99,,,0.98,,1-Jan-91,1-Jul-25
ABGP0001025,,Gas Plant Sweet,,/13-09-079-22W5,55.837444,-117.389725,DEVON NORMANDVILLE,NORMANDVILLE,0HE9,Canadian Natural Resources Limited,F16342    ,RecCertified,10-Nov-20,0HE9,Canadian Natural Resources Limited,B010,28-Feb-01,14-Sep-06,,354,,,,,,,,,,,,,,
ABGP0001026,,Gas Plant Sweet,,00/07-17-026-14W4,51.218223,-111.921422,CESSFORD 7-17-26-14W4,CESSFORD,0HE9,Canadian Natural Resources Limited,F3608     ,Abandoned,7-Nov-12,0HE9,Canadian Natural Resources Limited,B010,1-Mar-01,,,182,,,,,,,,,,,,,1-Jan-91,1-May-04
ABGP0001027,,Gas Plant Sweet,,/15-22-051-27W4,53.423014,-113.893931,* IMPERIAL GOLDEN SPIKE,GOLDEN SPIKE,0007,Imperial Oil Resources Limited,F11882    ,Abandoned,1-Jun-10,0007,Imperial Oil Resources Limited,B010,2-Mar-01,,,"2,500.00",,,,,,,,,,,,,,
ABGP0001028,,Gp Sulphur Rcvry,,00/01-29-057-21W4,53.952559,-113.075135,Redwater GP 1-29-57-21W4,REDWATER,A8CW,Conifer Energy Inc.,F13234    ,Amended,13-Mar-15,A8CW,Conifer Energy Inc.,E600,2-Mar-01,13-Mar-15,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process",127.4,115,,,,,48,,4.99,4.75,,0.99,69.7,1-Jan-91,1-Jul-25
ABGP0001029,,Gas Plant Sweet,,/05-21-045-27W4,,,* SAMSON FERRYBANK,FERRYBANK,0BP8,Obsidian Energy Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001030,,Gp Sulphur Rcvry,,/14-06-020-02W5,,,* TALISMAN TURNER VALLEY,TURNER VALLEY,0039,Repsol Oil & Gas Canada Inc.,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001031,,Gas Plant Sweet,,00/08-20-076-09W6,55.595903,-119.345006,VALHALLA 8-20-76-9w6,VALHALLA,0HE9,Canadian Natural Resources Limited,F15861    ,Amended,26-Jun-07,0HE9,Canadian Natural Resources Limited,B010,28-Feb-01,26-Jun-07,,"1,353.00",1297,0,0,0,0,0,25,0,,,,,1-Jan-91,1-Dec-12
ABGP0001032,,Gas Plant Sweet,,/07-22-087-07W6,56.557089,-119.020119,* SHELL WORSLEY,WORSLEY,0T03,Shell Canada Limited,F17262    ,Abandoned,31-Mar-98,0T03,Shell Canada Limited,B010,6-Mar-01,,,"1,606.00",,,,,,,,,,,,,,
ABGP0001033,,Gas Plant Sweet,,/13-13-035-26W4,52.01176,-113.59949,CRESTAR THREE HILLS CK,THREE HILLS CREEK,A1GR,Pine Cliff Energy Ltd.,F5114     ,Abandoned,23-Jul-25,A1GR,Pine Cliff Energy Ltd.,B010,28-Feb-01,,,500,,,,,,,,,,,,,1-Jan-91,1-Oct-10
ABGP0001034,,Gp Sulphur Rcvry,,00/08-17-060-15W5,54.186291,-116.205587,PGI West Whitecourt (Windfall),WINDFALL,A938,Pembina Gas Infrastructure Inc.,F13639    ,Amended,13-Aug-12,A84Z,PGI Processing ULC,D400,7-Nov-00,13-Aug-12,Regenerative,"2,000.00",1500,0,0,0,0,200,250,75,,,0.99,0,1-Jan-91,1-Jul-25
ABGP0001035,,Gas Plant Sweet,,/04-02-053-26W4,,,* ICG ACHESON,ACHESON,A6LC,CNOOC Petroleum North America ULC,,,,,,,,,,,,,,,,,,,,,,,,
