"For All Companies As of Sep 02, 2025 For All Alberta ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Facility ID,,Facility Subtype,,Surface Location,Location Latitude,Location Longitude,Facility Name,Field or Area,Operator Code,Operator Name,Licence Number,Licence Status,Licence Status Date,Licensee  BA Code,Licensee Name,Licence EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,First Volumetric Activity Date,Last Volumetric Activity Date
ABGP0001358,,Gas Plant Sweet,,00/16-07-024-16W4,,,TARRAGON WINTERING HILLS,WINTERING HILLS,0HE9,Canadian Natural Resources Limited,,,,,,,,,,,,,,,,,,,,,,,1-Jan-91,1-Jun-05
ABGP0001359,,Gp Acid Gas Flaring,,00/09-16-051-11W5,53.404798,-115.55243,CYN-PEM 9-16-51-11W5,PEMBINA,0HE9,Canadian Natural Resources Limited,F11983    ,Issued,15-Feb-01,A6FW,Vermilion Energy Inc.,B030,15-Feb-01,,,21,,,,,,,,,,,,,,
ABGP0001360,,Gp Sulphur Rcvry,,00/15-02-049-20W5,53.204516,-116.811193,PETRO-CAN HANLAN,BASING,A68P,Canlin Resources Partnership,F11504    ,Amended,17-Dec-12,A7M1,Canlin Energy Corporation,E600,1-May-01,17-Dec-12,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, Sulfreen Process","12,008.50",10073,0,0,0,0,97.6,235.8,1270,1251,,19.05,98.5,1-Jan-91,1-Jul-25
ABGP0001361,,Gas Plant Sweet,,02/11-36-063-19W5,54.496105,-116.739181,ENERMARK KAYBOB,KAYBOB,A2PH,Journey Energy Inc.,F34831    ,Abandoned,14-Sep-22,A2PH,Journey Energy Inc.,B010,5-Oct-05,26-Aug-06,,170,165,0,0,0,0,0,5.4,0,,,,,1-Jan-91,1-Jul-09
ABGP0001362,,Gas Plant Sweet,,/07-26-022-16W4,,,* PANCDN VERGER,COUNTESS,A5D4,Cenovus Energy Inc.,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001363,,Gp Acid Gas Flaring%,,00/03-32-045-21W4,52.918199,-113.019152,DUHAMEL 3-32-45-21W5,DUHAMEL,0HE9,Canadian Natural Resources Limited,F9675     ,Abandoned,29-Jan-25,0HE9,Canadian Natural Resources Limited,D421,1-Mar-01,,,3,,,,,,,,,,,,,1-Jan-91,1-Sep-02
ABGP0001364,,Gas Plant Sweet,,00/07-18-078-02W6,55.758314,-118.297633,TALISMAN SHANE,SHANE,A2BX,Hanna Oil & Gas Company - Canada ULC,F16207    ,Amended,16-Nov-05,A2BX,Hanna Oil & Gas Company - Canada ULC,B010,19-Mar-01,26-Aug-06,,720,715,0,0,0,0,27,32,0,,,,,1-Jan-91,1-Aug-17
ABGP0001365,,Gp Acid Gas Flaring%,,/13-14-042-16W4,52.620241,-112.206295,SIGNALTA FORESTBURG,FORESTBURG,0R89,Signalta Resources Limited,F8966     ,Amended,7-Sep-06,0R89,Signalta Resources Limited,D400,2-Feb-01,23-Feb-08,"Regenerative, Acid Gas Flaring",934.5,872.2,0,0,0,0,0,6.6,4.5,,,4.5,,1-Jan-91,1-Sep-14
ABGP0001366,,Gas Plant Sweet,,/13-09-033-08W4,,,* CRESTAR PROVOST,PROVOST,0E9L,ConocoPhillips Canada Energy Partnership,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001367,,Gas Plant Sweet,,/09-02-026-07W5,,,* PANCDN MORLEY,JUMPING POUND WEST,0026,Ovintiv Canada ULC,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001368,,Gas Plant Sweet,,02/05-04-049-01W5,53.19803,-114.095541,ARGONAUTS THORSBY,THORSBY,A632,Petrus Resources Corp.,F11191    ,Issued,1-Mar-01,A632,Petrus Resources Corp.,B010,1-Mar-01,,,112,,,,,,,,,,,,,1-Jan-91,1-Jun-19
ABGP0001369,,Gas Plant Sweet,,00/07-14-050-22W4,53.31454,-113.10792,JOARCAM 7-14-50-22W4,JOARCAM,0HE9,Canadian Natural Resources Limited,F11582    ,Abandoned,1-Sep-04,0HE9,Canadian Natural Resources Limited,B010,1-Mar-01,,,201,,,,,,,,,,,,,1-Jan-91,1-Aug-04
ABGP0001370,,Gas Plant Sweet,,00/16-35-048-12W5,53.190514,-115.638157,KEYERA BRAZ NORTH PLT 16-35-48-12W5,BRAZEAU RIVER,A0C0,Keyera Energy Ltd.,F20805    ,Amended,3-May-13,A0C0,Keyera Energy Ltd.,B010,1-Mar-01,3-May-13,,"1,400.00",1302,0,0,0,0,0,99,0,,,,,1-Jan-91,1-Sep-21
ABGP0001371,,Gas Plant Sweet,,/10-11-066-22W5,,,* NORCEN GIROUX LAKE,GIROUX LAKE,0HE9,Canadian Natural Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001372,,Gas Plant Sweet,,00/04-31-048-12W5,53.179522,-115.753482,* PETRO-CAN BRAZEAU RIVER,BRAZEAU RIVER,A74Y,Tidewater Midstream and Infrastructure Ltd.,F11034    ,Amended,8-Dec-23,A74Y,Tidewater Midstream and Infrastructure Ltd.,E600,6-Mar-01,8-Dec-23,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, MCRC Process","6,650.00",5400,600,0,1050,400,875,1956,500,492,,8,98.4,,
ABGP0001373,,Gas Plant Sweet,,/07-14-047-26W4,53.05213,-113.69211,ASCOT WATELET,WATELET,0BP8,Obsidian Energy Ltd.,F10137    ,Issued,8-Sep-14,A8PH,Tenaz Energy Corp.,C300,1-Mar-01,,,31.15,,,,,,,,,,,,,1-Jan-91,1-Nov-02
ABGP0001374,,Gp Sulphur Rcvry,,00/01-11-035-06W5,51.986229,-114.742535,AMOCO CAROLINE N,CAROLINE,A573,Tourmaline Oil Corp.,F5166     ,Amended,21-Dec-01,A573,Tourmaline Oil Corp.,B040,1-May-01,26-Aug-06,"Regenerative, Acid Gas Sulphur Recovery, Claus Process",566,1028,,,,,350,,5,3.5,,0.9,69.7,1-Jan-91,1-Dec-03
ABGP0001375,,Gas Plant Sweet,,/04-06-047-12W5,,,* AMOCO BRAZEAU RIVER,BRAZEAU RIVER,A62D,BP Canada Energy Group ULC,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001376,,Gas Plant Sweet,,02/10-25-045-09W5,52.910726,-115.170301,ALTAGAS ALDER FLATS,PEMBINA,A74Y,Tidewater Midstream and Infrastructure Ltd.,F9783     ,Issued,28-Feb-01,A74Y,Tidewater Midstream and Infrastructure Ltd.,B040,28-Feb-01,,,350,,,,,,,,,,,,,1-Jan-91,1-Jul-01
ABGP0001377,,Gp Acid Gas Flaring,,/10-14-039-03W5,52.358744,-114.322986,GULF MED RIVER,MEDICINE RIVER,A8C8,Btg Energy Corporation,F23332    ,Amended,9-Jun-17,A8C8,Btg Energy Corporation,C300,1-May-01,9-Jun-17,"Regenerative, Acid Gas Flaring",425,153.1,,,,,35.4,,0.16,,,0.07,,1-Jan-91,1-Jul-25
ABGP0001378,,Gp Acid Gas Flaring,,/07-20-040-10W4,,,* IMPERIAL PROVOST,PROVOST,0007,Imperial Oil Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001379,,Gas Plant Sweet,,00/01-34-040-09W5,52.480079,-115.205935,FERRIER 1-34-40-9W5,FERRIER,0HE9,Canadian Natural Resources Limited,F8286     ,Amended,9-Oct-24,0HE9,Canadian Natural Resources Limited,B010,1-May-01,9-Oct-24,,707.9,696.9,0,0,0,0,122,0,0,,,,,1-Jan-91,1-Jul-25
ABGP0001380,,Gas Plant Sweet,,00/01-24-096-05W6,57.338921,-118.653037,CHINCHAGA 1-24-96-5w6,CRANBERRY,0HE9,Canadian Natural Resources Limited,F17682    ,Issued,1-Feb-01,0HE9,Canadian Natural Resources Limited,C300,1-Feb-01,,,"2,500.00",,,,,,,,0.06,,,,,1-Jan-91,1-Jul-25
ABGP0001381,,Gp Acid Gas Flaring,,03/10-04-051-04W5,53.377746,-114.524182,Highvale Gas Plant 10-04,HIGHVALE,A68R,Highvale Energy Limited,F11909    ,Amended,26-Jan-16,A68R,Highvale Energy Limited,C300,2-Mar-01,26-Jan-16,"Regenerative, Acid Gas Flaring",800,770,,,,,84,15,0.99,,,0.99,,1-Jan-91,1-Jul-25
ABGP0001382,,Gas Plant Sweet,,/09-08-051-09W5,53.390212,-115.280444,COMPTON BIGORAY GAS PLANT,BIGORAY,0CW8,Lexin Resources Ltd.,F11957    ,Abandoned,20-Apr-22,A5KY,Tallgrass Energy Corp.,C300,1-Mar-01,,,25,,,,,,,,0.02,,,,,1-Jan-91,1-Jun-00
ABGP0001383,,Gas Plant Sweet,,00/01-29-075-09W6,55.521368,-119.346742,VALLHALA 1-29-75-9w6,VALHALLA,0HE9,Canadian Natural Resources Limited,F15732    ,Issued,6-Mar-01,0HE9,Canadian Natural Resources Limited,B010,6-Mar-01,,,925,,,,,,,,,,,,,1-Jan-91,1-Jul-25
ABGP0001384,,Gas Plant Sweet,,/08-14-044-13W4,,,* CDN SUP KILLAM,KILLAM NORTH,0025,ExxonMobil Resources Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001385,,Gp Acid Gas Flaring%,,/13-12-054-25W4,,,VIRIDIAN CAMPBELL-NAMAO,CAMPBELL-NAMAO,0GX2,Nutrien (Canada) Holdings ULC,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001386,,Gas Plant Sweet,,/13-27-042-08W5,52.651799,-115.077319,AMOCO WILLESDEN GREEN,WILLESDEN GREEN,0BP8,Obsidian Energy Ltd.,F9130     ,Amended,24-Dec-10,0BP8,Obsidian Energy Ltd.,B010,14-Mar-01,24-Dec-10,,"1,700.00",1400,0.9,0,5.5,1,230,0,0,,,,,1-Jan-91,1-Jul-25
ABGP0001387,,Gas Plant Sweet,,00/14-12-026-19W4,51.210481,-112.531949,SEIU LAKE 14-12-26-19W4,WAYNE-ROSEDALE,0HE9,Canadian Natural Resources Limited,F3623     ,Amended,24-Oct-07,0HE9,Canadian Natural Resources Limited,B010,1-Mar-01,24-Oct-07,,"1,117.00",1050,0,0,54.8,66.8,0,83.9,0,,,,,1-Jan-91,1-Jul-25
ABGP0001389,,Gas Plant Sweet,,00/06-16-039-19W4,52.352495,-112.683209,* RANGER LEAHURST,LEAHURST,0HE9,Canadian Natural Resources Limited,F7160     ,Issued,18-Apr-01,A1H9,Ember Resources Inc.,B020,18-Apr-01,,,15.6,,,,,,,,,,,,,,
ABGP0001390,,Gas Plant Sweet,,00/06-09-031-01W4,51.640019,-110.091021,ESTHER 6-9-31-1W4,ESTHER,0HE9,Canadian Natural Resources Limited,F20519    ,Abandoned,23-Oct-19,0HE9,Canadian Natural Resources Limited,C311,6-Apr-01,26-Aug-06,,75,,,,,,,,0.01,,,0,,1-Jan-91,1-Jul-00
ABGP0001391,,Gas Plant Sweet,,/04-20-096-03W6,57.338398,-118.456426,ATCO MIDSTREAM PEMBINA CRANBERRY,CRANBERRY,0Z2W,ATCO Next Energy Ltd.,F17677    ,Abandoned,28-Apr-17,0Z2W,ATCO Next Energy Ltd.,B010,1-Mar-01,,,565,,,,,,,,,,,,,1-Jan-91,1-Jun-12
ABGP0001392,,Gas Plant Sweet,,00/12-01-049-16W5,53.203283,-116.220075,CONOCO PECO,PECO,A5D4,Cenovus Energy Inc.,F11496    ,Amended,29-Jun-10,A5D4,Cenovus Energy Inc.,B010,1-Mar-01,29-Jun-10,,"1,960.00",1770.5,5.9,0,219.2,148.2,431.1,217.5,0,,,,,1-Jan-91,1-Jul-25
ABGP0001393,,Gas Plant Sweet,,/05-14-055-19W4,,,* POCO REDWATER,REDWATER,A5G3,ConocoPhillips Canada Resources Corp.,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001394,,Gas Plant Sweet,,00/10-16-053-13W5,53.577498,-115.850531,D Energy Carrot Creek 10-16-53-13W5,CARROT CREEK,A6FW,Vermilion Energy Inc.,F12316    ,Amended,8-Sep-20,A6FW,Vermilion Energy Inc.,B010,1-May-01,8-Sep-20,,"1,160.00",1099.3,0,0,0,0,160.1,72.2,0,,,,,1-Jan-91,1-Jul-25
ABGP0001396,,Gp Acid Gas Flaring,,/06-15-020-27W4,50.694345,-113.66571,BORDER MIDSTREAM GLADYS,HERRONTON,0CW8,Lexin Resources Ltd.,F2866     ,Abandoned,22-Apr-25,0CW8,Lexin Resources Ltd.,C300,1-May-01,26-Aug-06,"Regenerative, Acid Gas Flaring",425,412,,,,,27,,0.98,,,0.98,,1-Jan-91,1-Aug-14
ABGP0001397,,Gp Acid Gas Flaring,,00/01-20-070-22W4,55.070718,-113.310687,CALLING LAKE S 1-20-70-22W4,CALLING LAKE SOUTH,0HE9,Canadian Natural Resources Limited,F14973    ,Amended,24-Mar-22,0HE9,Canadian Natural Resources Limited,C300,24-Jan-01,24-Mar-22,"Regenerative, Acid Gas Flaring",425,420,,,,,,6.2,0.58,,,0.58,,1-Jan-91,1-Jul-25
ABGP0001398,,Gas Plant Sweet,,/04-17-052-18W4,,,ANADARKO BEAVERHILL LAKE,BEAVERHILL LAKE,0HE9,Canadian Natural Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001399,,Gp Acid Gas Flaring%,,/10-34-042-05W5,52.663492,-114.632957,IMPERIAL WILSON CREEK,PEMBINA,A8HW,Gran Tierra Canada Ltd.,F9072     ,Abandoned,15-Nov-16,A8HW,Gran Tierra Canada Ltd.,C300,2-Mar-01,24-Nov-07,"Regenerative, Acid Gas Flaring",341,311,0,0,0,0,40.4,0,0.95,,,0.95,,1-Jan-91,1-Jul-13
ABGP0001400,,Gas Plant Sweet,,/14-08-055-03W5,,,* CLEARPORT GUNN,GUNN,0066,Clearport Holdings Ltd,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001401,,Gas Plant Sweet,,00/01-25-057-23W4,53.952063,-113.273309,OPAL 01-25-057-23W4 GP,REDWATER,0RL9,Baytex Energy Ltd.,F13248    ,Amended,10-Feb-12,0RL9,Baytex Energy Ltd.,B010,1-Mar-01,10-Feb-12,,42,20,0,0,0,0,0,0.1,0,,,,,1-Jan-91,1-Jul-22
ABGP0001402,,Gp Sulphur Rcvry,,03/11-22-049-12W5,53.244994,-115.674014,KEYERA PEMBINA GAS PLANT 11-22,PEMBINA,A9CE,Tmax Energy Ltd.,F11490    ,Amended,16-Dec-13,A9CE,Tmax Energy Ltd.,D400,1-Mar-01,16-Dec-13,"Regenerative, Acid Gas Injection, Acid Gas Flaring","1,220.00",1156,,,,,166.1,,29.7,,,0.41,95.9,1-Jan-91,1-Jul-25
ABGP0001403,,Gas Plant Sweet,,00/07-16-064-21W5,54.534587,-117.107966,TONY CREEK NORTH 7-16-64-21W5,TONY CREEK NORTH,0HE9,Canadian Natural Resources Limited,F14207    ,Amended,24-Jan-07,0HE9,Canadian Natural Resources Limited,B020,27-Feb-01,24-Jan-07,,450,,,,,,,,0,,,,,1-Jan-91,1-Apr-05
ABGP0001404,,Gas Plant Sweet,,00/02-14-077-25W5,55.666947,-117.760259,EAGLESHAM SOUTH 2-24-77-25w5,EAGLESHAM,0HE9,Canadian Natural Resources Limited,F15997    ,Amended,4-Oct-06,0HE9,Canadian Natural Resources Limited,C300,28-Feb-01,4-Oct-06,,803,791,0,0,0,0,64,0,0.06,,,0.06,,1-Jan-91,1-Apr-14
ABGP0001405,,Gas Plant Sweet,,/07-09-054-21W5,53.648206,-117.031036,* TALISMAN SUNDANCE,SUNDANCE,0039,Repsol Oil & Gas Canada Inc.,F12491    ,Amended,9-May-03,0YA2,Peyto Exploration & Development Corp.,C310,19-Mar-01,26-Aug-06,None,168.9,,,,,,,,0.02,,,,,,
ABGP0001406,,Gas Plant Sweet,,/07-21-042-12W4,52.629073,-111.669917,ALBERTA SELECTA CORP. SEDGEWICK,SEDGEWICK,0026,Ovintiv Canada ULC,F8936     ,Abandoned,30-Sep-09,0026,Ovintiv Canada ULC,B010,28-Feb-01,,,56,,,,,,,,,,,,,1-Jan-91,1-Dec-04
ABGP0001407,,Gas Plant Sweet,,02/13-12-038-27W4,52.257707,-113.738648,AAV JOFFRE 13-12-038-27W4 GP,JOFFRE,0TD9,Advantage Energy Ltd.,F6658     ,Abandoned,18-Nov-22,0TD9,Advantage Energy Ltd.,B010,1-Mar-01,,,110,,,,,,,,,,,,,1-Jan-91,1-Jul-22
ABGP0001408,,Gas Plant Sweet,,00/14-24-036-17W4,52.112298,-112.305568,DEVON LEO,LEO,0HE9,Canadian Natural Resources Limited,F5569     ,Issued,6-Mar-01,0HE9,Canadian Natural Resources Limited,B040,6-Mar-01,26-Aug-06,None,710,,,,,,,,,,,,,,
ABGP0001409,,Gp Acid Gas Flaring%,,/11-25-042-21W4,,,* PANCDN BASHAW,BASHAW,0026,Ovintiv Canada ULC,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001410,,Gas Plant Sweet,,00/02-30-022-22W4,50.894512,-113.037555,* ENRON BLACKFOOT,BLACKFOOT,A7AG,Lynx Energy ULC,F3218     ,Issued,2-Mar-01,A7AG,Lynx Energy ULC,B040,2-Mar-01,,None,5,,,,,,,,,,,,,,
ABGP0001411,,Gp Acid Gas Inj,,00/08-36-086-19W4,56.497106,-112.856861,PARAMOUNT SALESKI,SALESKI,0Z5F,Sequoia Resources Corp.,F17086    ,Amended,12-Jun-06,0Z5F,Sequoia Resources Corp.,C311,6-Mar-01,26-Aug-06,,474,,,,,,,,0.03,,,0,,1-Jan-91,1-Apr-05
ABGP0001412,,Gas Plant Sweet,,00/06-28-034-15W4,51.945766,-112.077978,ENDIANG 6-28-34-15w4,SPIERS,0HE9,Canadian Natural Resources Limited,F4693     ,Amended,1-Nov-07,0HE9,Canadian Natural Resources Limited,B010,6-Mar-01,1-Nov-07,None,392,381.6,0,0,0,0,21.8,0,0,,,,,1-Jan-91,1-Oct-21
ABGP0001413,,Gas Plant Sweet,,00/02-04-027-13W4,51.272698,-111.772555,SUCCESS BERRY GAS PLANT,BERRY,A50K,Success Resources Ltd.,F3686     ,Issued,2-Mar-01,A50K,Success Resources Ltd.,B010,2-Mar-01,,,84,,,,,,,,,,,,,1-Jan-91,1-Jul-25
ABGP0001414,,Gas Plant Sweet,,00/07-11-015-27W4,50.242666,-113.607323,CAMPUS PARKLAND,PARKLAND NORTHEAST,A8C5,Pivotal Energy Partners Inc.,F1807     ,Issued,28-Feb-01,A8C5,Pivotal Energy Partners Inc.,B010,28-Feb-01,,,"1,130.00",,,,,,,,,,,,,1-Jan-91,1-Jul-25
ABGP0001415,,Gp Sulphur Rcvry,,00/06-18-006-06W4,49.470957,-110.805362,* CIMARRON MANYBERRIES,ETZIKOM,0AL1,Cimarron Petroleum Ltd.,F22694    ,Abandoned,1-Jan-08,A5D4,Cenovus Energy Inc.,B040,22-Mar-01,,,45,,,,,,,,,,,,,,
ABGP0001416,,Gas Plant Sweet,,/07-10-009-06W4,49.718966,-110.736528,* ROAN MED HAT,MEDICINE HAT,0AH9,7246366 Canada Ltd.,F288      ,Cancelled,20-Mar-02,0026,Ovintiv Canada ULC,B010,23-Mar-01,,,14.2,,,,,,,,,,,,,,
ABGP0001417,,Gp Acid Gas Flaring%,,00/14-14-053-20W5,53.581864,-116.844607,GALLOWAY 14-14-53-20W5,ANSELL,0HE9,Canadian Natural Resources Limited,F12354    ,Amended,15-Jul-16,0HE9,Canadian Natural Resources Limited,C300,14-Feb-01,15-Jul-16,"Regenerative, Acid Gas Flaring","4,050.00",3974,0,0,0,0,388.8,306.8,0.99,,,0.87,,1-Jan-91,1-Jul-25
ABGP0001418,,Gas Plant Sweet,,00/10-04-066-23W5,54.684763,-117.413441,ANTE CREEK 10-4-66-23W5,ANTE CREEK NORTH,0HE9,Canadian Natural Resources Limited,F14558    ,Amended,24-Nov-11,0HE9,Canadian Natural Resources Limited,B010,27-Feb-01,24-Nov-11,,382,362.8,0,0,0,0,45,0,0,,,,,1-Jan-91,1-Jul-25
ABGP0001419,,Gas Plant Sweet,,00/04-05-045-12W4,52.845108,-111.718372,KILLAM N 04-05-045-12W4 GAS PLANT,KILLAM NORTH,A71K,Axiom Oil and Gas Inc.,F9653     ,Amended,21-Nov-06,A71K,Axiom Oil and Gas Inc.,B010,28-Feb-01,21-Nov-06,,340,190,0,0,0,0,0,2,0,,,,,1-Jan-91,1-Jul-25
ABGP0001420,,Gp Acid Gas Inj,,/10-23-067-24W4,,,* STEALTH BIG COULEE,BIG COULEE,0NG7,Stealth Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001421,,Gas Plant Sweet,,/07-08-006-22W4,49.456004,-112.928634,BONAVISTA BLOOD,BLOOD,A04N,Tamarack Valley Energy Ltd.,F160      ,Abandoned,15-Mar-09,A9AX,Sharptail Energy Inc,B010,1-Mar-01,,None,324.07,,,,,,,,,,,,,1-Jan-91,1-Jul-06
ABGP0001422,,Gas Plant Sweet,,00/16-01-082-17W4,56.084389,-112.514876,* CHEVRON HOUSE,HOUSE,0045,Chevron Canada Limited,F16772    ,Issued,14-Feb-01,0HE9,Canadian Natural Resources Limited,B040,14-Feb-01,,,250,,,,,,,,,,,,,,
ABGP0001423,,Gas Plant Sweet,,03/10-28-069-10W5,55.00503,-115.460109,STAR SWAN HILLS,SWAN HILLS,A7N3,Acquisition Oil Corp.,F31225    ,Amended,3-Nov-06,A7N3,Acquisition Oil Corp.,C300,11-Mar-04,3-Nov-06,Nonregenerative,30,20,0,0,0,0,10,0,0.01,,,0,,1-Jan-91,1-May-20
ABGP0001424,,Gas Plant Sweet,,00/10-33-085-11W6,56.415034,-119.670956,Boundary Lake Central 10-33 Plant,HILL,A73W,Enercapita Energy Ltd.,F22199    ,Issued,28-Feb-01,A73W,Enercapita Energy Ltd.,B010,28-Feb-01,,,70,,,,,,,,,,,,,1-Jan-91,1-Nov-23
ABGP0001425,,Gas Plant Sweet,,02/09-21-038-23W4,52.28492,-113.2253,PENGROWTH MKWAN 102/09-21-038-23W4,MIKWAN,A7H2,AlphaBow Energy Ltd.,F6609     ,Amended,5-Mar-09,A7H2,AlphaBow Energy Ltd.,B010,2-Mar-01,5-Mar-09,,18,17,0,0,0,0,6.3,0,0,,,,,1-Jan-91,1-Jul-25
ABGP0001426,,Gp Acid Gas Flaring,,00/11-31-049-05W5,53.274841,-114.723826,SHININGBANK BERRYMOOR PEMBINA,PEMBINA,A8K9,Ricochet Oil Corp.,F11290    ,Amended,5-Oct-12,A8K9,Ricochet Oil Corp.,C300,2-Mar-01,5-Oct-12,"Regenerative, Acid Gas Flaring",198,182,0,0,0,0,54,0,0.4,,,0.4,,1-Jan-91,1-Jul-25
ABGP0001427,,Gp Acid Gas Flaring,,00/05-32-098-07W6,57.54699,-119.108997,KEYERA CHINCHAGA NORTH 05-32-98-7W6,CHINCHAGA,A0C0,Keyera Energy Ltd.,F17727    ,Abandoned,13-Jun-25,A0C0,Keyera Energy Ltd.,C300,1-Mar-01,5-Oct-06,,"4,118.00",4015.7,,,,,,118.5,0.96,,,0.96,,1-Jan-91,1-Nov-18
ABGP0001428,,Gas Plant Sweet,,/10-10-084-12W6,56.269617,-119.801848,STAR BOUNDARY LAKE SOUTH,BOUNDARY LAKE SOUTH,A73W,Enercapita Energy Ltd.,F17014    ,Abandoned,2-Sep-96,A73W,Enercapita Energy Ltd.,C300,6-Mar-01,2-Nov-06,,62,,,,,,,,3.36,,,,,,
ABGP0001429,,Gas Plant Sweet,,/14-35-029-24W4,51.530561,-113.277847,TARRAGON SWALWELL,SWALWELL,A1H9,Ember Resources Inc.,F4023     ,Amended,1-Jun-21,A1H9,Ember Resources Inc.,B010,5-Mar-01,1-Jun-21,None,350,167.2,22800.2,0,0,0,2.8,0,0,,,,,1-Jan-91,1-Jul-25
ABGP0001430,,Gas Plant Sweet,,00/06-24-044-16W4,52.80616,-112.19443,* TARRAGON TWINING,TWINING,A5D4,Cenovus Energy Inc.,F9441     ,Issued,12-Apr-01,A74Y,Tidewater Midstream and Infrastructure Ltd.,B040,12-Apr-01,,,56.63,,,,,,,,,,,,,,
ABGP0001431,,Gas Plant Sweet,,/01-25-035-14W4,,,C STAR SULLIVAN LAKE,SULLIVAN LAKE,0G30,ARC Resources Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001432,,Gas Plant Sweet,,00/06-24-044-16W4,52.80616,-112.19443,* CABRE STROM,FORESTBURG,0BP7,Cabre Exploration Ltd.,F9441     ,Issued,12-Apr-01,A74Y,Tidewater Midstream and Infrastructure Ltd.,B040,12-Apr-01,,,56.63,,,,,,,,,,,,,,
ABGP0001433,,Gp Acid Gas Flaring,,00/06-01-077-21W5,55.6408,-117.1204,DONNELLY 6-1-77-21W5,GIROUXVILLE EAST,A517,Long Run Exploration Ltd.,F15991    ,Amended,15-Aug-14,A517,Long Run Exploration Ltd.,D400,28-Feb-01,15-Aug-14,"Regenerative, Acid Gas Injection","1,132.00",1057,,,,,100,19.3,4.8,,,0,69.7,1-Jan-91,1-Nov-14
ABGP0001434,,Gas Plant Sweet,,00/14-01-024-22W4,51.021612,-112.944062,PANCDN HUSSAR,HUSSAR,A7AG,Lynx Energy ULC,F3473     ,Amended,23-May-03,A7AG,Lynx Energy ULC,B010,6-Mar-01,11-Oct-12,,"1,831.30",1831.3,0,0,0,0,33,44.8,0,0,,,,1-Jan-91,1-Jul-25
ABGP0001435,,Gp Acid Gas Inj,,/10-27-078-19W5,55.790378,-116.856306,* PENNZOIL ROXANA,ROXANA,0L27,625894 Alberta Inc.,F16161    ,Abandoned,17-May-03,0BP8,Obsidian Energy Ltd.,C300,2-Apr-01,,,12,,,,,,,,,,,,,,
ABGP0001436,,Gas Plant Sweet,,/15-05-062-01W5,54.34079,-114.1113,CONOCO JOARVIE,JARVIE,0AW4,Paramount Resources Ltd.,F13820    ,Abandoned,10-Jan-20,0AW4,Paramount Resources Ltd.,B010,1-Mar-01,,,324,,,,,,,,,,,,,1-Jan-91,1-Nov-18
ABGP0001437,,Gp Acid Gas Flaring%,,/03-26-033-06W5,51.85611,-114.75056,CASCADE CAROLINE,CAROLINE,A2TG,TAQA North Ltd.,F4557     ,Amended,4-Nov-08,A2TG,TAQA North Ltd.,B010,7-Dec-00,4-Nov-08,"Regenerative, Acid Gas Flaring","1,352.00",1315,0,0,0,0,145.5,121.5,0,,,,,1-Jan-91,1-Jul-25
ABGP0001438,,Gas Plant Sweet,,00/11-16-030-10W4,51.57127,-111.356137,STANMORE 11-16-30-10W4,STANMORE,0HE9,Canadian Natural Resources Limited,F4072     ,Abandoned,30-Sep-21,0HE9,Canadian Natural Resources Limited,B010,1-Mar-01,26-Aug-06,,80,74.5,,,,,,3,0,,,,,1-Jan-91,1-Mar-12
ABGP0001439,,Gas Plant Sweet,,/08-27-035-19W4,52.032051,-112.627624,THUNDER FENN BIG VALLEY,FENN-BIG VALLEY,A1H9,Ember Resources Inc.,F5076     ,Amended,21-Nov-02,A1H9,Ember Resources Inc.,B010,6-Mar-01,26-Aug-06,,340,339.3,0,0,0,0,26.4,0,0,0,,,,1-Jan-91,1-Dec-12
